BrowseAuthor,BrowseTitle,PublicationYear,CallNumber,TotalItemLifetimeCircCount,TotalItemYTDCircCount,,Call No. Color Code
"Rudd, Kevin, 1957- author.",The avoidable war : the dangers of a catastrophic conflict between the US and Xi Jinping's China,2022,355 RUD,15,2,,
,PSAT/NMSQT prep [2021] : with 3 practice tests,2021,378.1662 PSAT PRI,15,2,,
"Guarnaschelli, Alex, 1969- author.",Cook with me : 150 recipes for the home cook,2020,641.5 GUA,15,2,,
"Mauro, Jeff, author.","Come on over : 111 fantastic recipes for the family that cooks, eats, and laughs together",2021,641.5 MAU,15,2,,
"McGee, Syd, author.",Make life beautiful,2020,650.1 MCG,15,2,,
"Hongoltz-Hetling, Matthew, author.",A Libertarian walks into a bear : the Utopian plot to liberate an American town (and some bears),2020,974.2 HON,15,2,,
"Johnson, Victoria, 1969- author.","American Eden : David Hosack, botany, and medicine in the garden of the early republic",2018,"BIOG HOSACK,D JOH",15,2,,
"King, Maxwell (Maxwell Evarts Perkins), author.",The good neighbor : the life and work of Fred Rogers,2018,"BIOG ROGERS,F KIN",15,2,,
"Hollman, Gemma, author.",Royal witches : witchcraft and the nobility in fifteenth-century England,2020,133.43 HOL,15,1,,
"Dore, Madeleine, author.",I didn't do the thing today : letting go of productivity guilt,2022,158.1 DOR,15,1,,
"Cameron, Laurie, author.","The mindful day : practical ways to find focus, calm, and joy from morning to evening",2018,158.128 CAM,15,1,,
"Lowry, Erin, author.",Broke millennial takes on investing : a beginner's guide to leveling up your money,2019,332.6 LOW,15,1,,
"Alexander, Michelle, author.",The new Jim Crow : mass incarceration in the age of colorblindness,2020,364.973 ALE,15,1,,
"Ferrie, Chris, author.","Where did the universe come from? and other cosmic questions : our universe, from the quantum to the cosmos",2021,523.1 FER,15,1,,
"Graeber, Charles, author.",The breakthrough : immunotherapy and the race to cure cancer,2018,616.99 GRA,15,1,,
"Greger, Michael, author.","The how not to diet cookbook : 100+ recipes for healthy, permanent weight loss",2020,641.563 GRE,15,1,,
"Wang, Jason, author.",Xi'an Famous Foods : the cuisine of Western China from New York's favorite noodle shop,2020,641.5951 WAN,15,1,,
"Kimball, Christopher, author.","Milk Street vegetables : 250 bold, simple recipes for every season",2021,641.65 KIM,15,1,,
"Vasavada, Hetal.","Milk & cardamom : spectacular cakes, custards and more, inspired by the flavors of India",2019,641.86 VAS,15,1,,
"Byrn, Anne, author.","American cookie : the snaps, drops, jumbles, tea cakes, bars & brownies that we have loved for generations",2018,641.8654 BYR,15,1,,
"Delahooke, Mona, author.","Brain-body parenting : how to stop managing behavior and start raising joyful, resilient kids",2022,649.1 DEL,15,1,,
"Redzepi, RenÃ©, author.",Foundations of flavour : the Noma guide to fermentation,2018,664.024 RED,15,1,,
"Purdum, Todd S., author.",Something wonderful : Rodgers and Hammerstein's Broadway revolution,2018,792.0973 PUR,15,1,,
"Fairbanks, Amanda M., author.",The lost boys of Montauk : the true story of four men who vanished at sea,2021,910.9163 FAI,15,1,,
,Italy 2020,2019,914.5 ITA,15,1,,
"Walker, Benedict, author.",Yellowstone & Grand Teton National Parks,2019,917.875 LON,15,1,,
"Cerrotti, Rachael, author.",We share the same sky : a memoir of memory & migration,2021,940.5318 CER,15,1,,
"Meltzer, Brad, author.",The first conspiracy : the secret plot to kill George Washington,2019,973.4 MEL,15,1,,
"Diamond, Cheryl, author.",Nowhere girl : a memoir of a fugitive childhood,2021,"BIOG DIAMOND,C DIA",15,1,,
"Selby, Nick (police detective), author.",The cyber attack survival manual : tools for surviving everything from identity theft to the digital apocalypse,2017,005.8 SEL,15,0,,
"Frankl, Viktor E. (Viktor Emil), 1905-1997, author.",Yes to life : in spite of everything,2019,150.19 FRA,15,0,,
"Walker, Rob, 1968- author.","The art of noticing : 131 ways to spark creativity, find inspiration, and discover joy in the everyday",2019,153.7 WAL,15,0,,
"Leider, Richard, author.",Who do you want to be when you grow old? : the path of purposeful aging,2021,155.67 LEI,15,0,,
"Kaplan, Janice, author.","How luck happens : using the science of luck to transform work, love, and life",2018,158 KAP,15,0,,
"Beck, Martha Nibley, 1962- author.",The way of integrity : finding the path to your true self,2021,158.1 BEC,15,0,,
"Bishop, Gary John, author.",Stop doing that sh*t : end self-sabotage and demand your life back,2019,158.1 BIS,15,0,,
"Olivera, Lisa, 1987- author.","Already enough : learning to live as your whole, full self",2021,158.1 OLI,15,0,,
"Morgan, Meg Myers, author.","Everything is negotiable : the 5 tactics to get what you want in life, love, and work",2018,158.5 MOR,15,0,,
"Chugh, Dolly, author.",The person you mean to be : confronting bias to build a better workplace and world,2018,303.385 CHU,15,0,,
"Shellenberger, Michael, author.",Apocalypse never : why environmental alarmism hurts us all,2020,304.2 SHE,15,0,,
"Corrigan, Kelly, 1967- author.",Tell me more : stories about the 12 hardest things I'm learning to say,2018,305.2442 COR,15,0,,
"Tisby, Jemar, author.",The color of compromise : the truth about the American church's complicity in racism,2019,305.8 TIS,15,0,,
"Taddeo, Lisa, author.",Three women,2019,306.7 TAD,15,0,,
"Oppenheimer, Andres, 1951- author.",The robots are coming! : the future of jobs in the age of automation,2019,331.12 OPP,15,0,,
"Sander, Peter J., author.",The 100 best stocks to buy in 2019,2018,332.6322 SAN,15,0,,
"Gaddis, John Lewis, author.",On grand strategy,2018,355.4 GAD,15,0,,
"Berenson, Alex, author","Tell your children : the truth about marijuana, mental illness, and violence",2019,362.295 BER,15,0,,
"Hauck, Liz, author.","Home made : a story of grief, groceries, showing up--and what we make when we make dinner",2021,362.74 HAU,15,0,,
"Williams, Rachel DeLoache, author.",My friend Anna : the true story of the fake heiress who conned me and half of New York City,2019,364.163 WIL,15,0,,
"Brusatte, Stephen, author.",The rise and fall of the dinosaurs : a new history of a lost world,2018,567.9 BRU,15,0,,
"Lynch, Ben, 1974- author.",Dirty genes : a breakthrough program to treat the root cause of illness and optimize your health,2018,572.865 LYN,15,0,,
"Dutcher, Jim, 1943- author.",The wisdom of wolves : lessons from the Sawtooth pack,2018,599.773 DUT,15,0,,
"Ashton, Jennifer.","The self-care solution : a year of becoming happier, healthier, and fitter -- one month at a time",2019,613 ASH,15,0,,
"Kumai, Candice, author, photographer.","Kintsugi wellness : the Japanese art of nourishing mind, body, and spirit",2018,613.0952 KUM,15,0,,
"Wilson, Sarah (Nutritionist), author.","First, we make the beast beautiful : a new journey through anxiety",2018,616.8522 WIL,15,0,,
,Pregnancy day by day : count down your pregnancy day by day with advice from a team of experts and amazing images for every stage of your baby's development,2018,618.2 PRE,15,0,,
"Coffey, Bennett, author.",Chocolate every day : 85+ plant-based recipes for cacao treats that support your health and well-being,2018,641.3674 COF,15,0,,
"Thiessen, Tiffani, 1974- author.",Pull up a chair : recipes from my family to yours,2018,641.5 THI,15,0,,
"Chapple, Justin, author.",Just cook it! : 145 built-to-be-easy recipes that are totally delicious,2018,641.512 CHA,15,0,,
,Easy meal prep : the ultimate playbook for make-ahead meals.,2021,641.555 EAS,15,0,,
"Oliver, Jamie, 1975-",Ultimate veg : easy & delicious meals for everyone,2020,641.5636 OLI,15,0,,
"Carpenter, Holly, author.",The countdown to a cozy Christmas cookbook : an unofficial cookbook for fans of Hallmark movies,2019,641.5686 CAR,15,0,,
"Bourdain, Anthony, author.",World travel : an irreverent guide,2020,641.59 BOU,15,0,,
"Lennox, Leslie Derene, author.",Pesto : the modern mother sauce : more than 90 inventive recipes that start with homemade pestos,2019,641.5945 LEN,15,0,,
"Lewis, Dzung, author.","The Honeysuckle cookbook : 100 healthy, feel-good recipes to live deliciously",2020,641.595 LEW,15,0,,
"Witherspoon, Reese, 1976- author.","Whiskey in a teacup : what growing up in the South taught me about life, love, and baking biscuits",2018,641.5975 WIT,15,0,,
"Kysar, Alana, 1985-",Aloha kitchen : recipes from Hawai'i,2019,641.5996 KYS,15,0,,
"Telem, Ê¿Oz, author.","Cauliflower : over 70 exciting ways to roast, rice, and fry one of the world's healthiest vegetables",2018,641.6535 TEL,15,0,,
"Enelow, Wendy S, author.",Modernize your resume : get noticed ... get hired,2019,650.142 ENE,15,0,,
"Tenner, Edward, author.",The efficiency paradox : what big data can't do,2018,658.5 TEN,15,0,,
"Yap, Jules, author.","Ikeahackers.net : 25 biggest and best projects : DIY hacks for multi-functional furniture, clever storage upgrades, space-saving solutions and more",2017,684.1 YAP,15,0,,
,Michelangelo : divine draftsman and designer,2017,709.2 MIC,15,0,,
"Wood, KariAnne, author.",The DIY style finder,2019,747 WOO,15,0,,
,Publication manual of the American Psychological Association : the official guide to APA style.,2020,808.06 PUB,15,0,,
"Lovelace, Amanda, author.",The princess saves herself in this one,2017,811.6 LOV,15,0,,
,Top 10 Amsterdam.,2018,914.9235 AMS,15,0,,
"Amvrazi, Alexia, author.",Fodor's essential Greece,2018,914.95 FOD,15,0,,
"Andersen, Christopher P.","Brothers and wives : inside the private lives of William, Kate, Harry, and Meghan",2021,941.085 AND,15,0,,
"Mayes, Frances, author.",See you in the piazza : new places to discover in Italy,2019,945 MAY,15,0,,
"Immerwahr, Daniel, 1980- author.",How to hide an empire : a history of the greater United States,2019,973 IMM,15,0,,
"Atkinson, Rick, author.","The British are coming : the war for America, Lexington to Princeton, 1775-1777",2019,973.3 ATK,15,0,,
"Abrams, Dan, 1966- author.","Kennedy's avenger : assassination, conspiracy, and the forgotten trial of Jack Ruby",2021,973.922 ABR,15,0,,
"Wolff, Michael, 1953- author.",Fire and fury : inside the Trump White House,2018,973.933 WOL,15,0,,
"Bowler, Kate, author.",Everything happens for a reason : and other lies I've loved,2018,"BIOG BOWLER,K BOW",15,0,,
"Jaouad, Suleika, author.",Between two kingdoms : a memoir of a life interrupted,2021,"BIOG JAOUAD,S JAO",15,0,,
"Mulgrew, Kate, 1955- author.",How to forget : a daughter's memoir,2018,"BIOG MULGREW,K MUL",15,0,,
"Namath, Joe Willie, 1943- author.",All the way : my life in four quarters,2018,"BIOG NAMATH,J NAM",15,0,,
"Smith, Will, 1968- author.",Will,2021,"BIOG SMITH,W SMI",15,0,,
"Stern, Howard, 1954- author.",Howard Stern comes again,2019,"BIOG STERN,H STE",15,0,,
"Trebek, Alex, 1940- author.",The answer is ... reflections on my life,2020,"BIOG TREBEK,A TRE",15,0,,
"Wertz, Julia, author, illustrator.","Tenements, towers & trash : an unconventional illustrated history of New York City",2017,GRAPHIC 974.71 WER,15,0,,
"ë°• ì •ì¤€, author.",ë‚˜ëŠ” ì•„ë§ˆì¡´ì—,2019,KOREAN 338.7610 PAK 2019,15,0,,
"Pogrebin, Letty Cottin, author.",Shanda : a memoir of shame and secrecy,2022,"BIOG POGREBIN,L POG",14,11,,
"Flay, Bobby, author.",Sundays with Sophie : family recipes from our table to yours,2022,641.5 FLA,14,7,,
"Edwards, Vanessa van, author.",Cues : master the secret language of charismatic communication,2022,153.6 EDW,14,6,,
"Coleman, Joshua, author.",Rules of estrangement,2020,306.874 COL,14,6,,
"Carroll, Sean M., 1966- author.","The biggest ideas in the universe : space, time, and motion",2022,530.11 CAR,14,6,,
"Wright, Daniel, 1975- author","The art of woodburning : pyrography projects, techniques and inspiration",2018,745.514 WRI,14,6,,
"Freeman, Michael, 1945- author.",The photography bible : all you need to know to take perfect photos,2018,770 FRE,14,6,,
"Averbuck, Alexis, 1972- author.",Iceland,2022,914.912 LON,14,6,,
"Lee, Bobby C., author.",The promise of bitcoin : the future of money and how it can work for you,2021,332.4 LEE,14,5,,
"Orlin, Ben, author, illustrator.",Change is the only constant : the wisdom of calculus in a madcap world,2019,515 ORL,14,5,,
"Williams, Odette, author.",Simple pasta : pasta made easy. Life made better.,2022,641.822 WIL,14,5,,
"Dailey, Donna, author.",Top 10 Paris 2020,2019,914.436 PAR,14,5,,
,Top 10 Florence and Tuscany.,2021,914.55 FLO,14,5,,
"Taborda, Joana, author.",Lisbon,2021,914.6942 LIS,14,5,,
"Mickle, Tripp, author.",After Steve : how Apple became a trillion-dollar company and lost its soul,2022,338.7 MIC,14,4,,
,Fodor's Florida,2021,917.59 FOD,14,4,,
"Asher, Zain E. (Zain Ejiofor), author.",Where the children take us,2022,"BIOG EJIOFOR,O ASH",14,4,,
"Bryant, Howard, 1968- author.",Rickey : the life and legend of an American original,2022,"BIOG HENDERSON,R BRY",14,4,,
"Zabar, Lori, author.","Zabar's : a family story, with recipes",2022,BIOG ZABAR ZAB,14,4,,
"Fideler, David R., 1961- author.",Breakfast with Seneca : a Stoic guide to the art of living,2022,188 FID,14,3,,
"Lesser, Elizabeth, author.","Cassandra speaks : when women are the storytellers, the human story changes",2020,305.42 LES,14,3,,
"Miles, Tiya, 1970- author.","All that she carried : the journey of Ashley's sack, a black family keepsake",2021,306.3 MIL,14,3,,
"Bach, David, author.",The latte factor : why you don't have to be rich to live rich,2019,332.024 BAC,14,3,,
"Wexler, Natalie, auhtor.",The knowledge gap : the hidden cause of America's broken education system--and how to fix it,2019,372.6 WEX,14,3,,
,Cracking the AP physics 1 exam,2019,378.1662 AP-PHYS 1 PRI,14,3,,
"Malby-Anthony, FranÃ§oise, author.","An elephant in my kitchen : what the herd taught me about love, courage and survival",2019,599.67 MAL,14,3,,
"Snodgrass, Alex, author.",The defined dish : healthy and wholesome weeknight recipes,2019,641.563 SNO,14,3,,
"Conner, Polly, author.","From freezer to cooker : delicious whole-foods meals for the slow cooker, pressure cooker, and Instant Pot: a cookbook",2020,641.5884 CON,14,3,,
"Helou, Anissa, 1952- author.",Feast : food of the Islamic world,2018,641.59 HEL,14,3,,
"Perry, Philippa, 1957- author.",The book you wish your parents had read : (and your children will be glad that you did),2020,649.1 PER,14,3,,
"Aujla, Dev, author.",50 ways to get a job : an unconventional guide to finding work on your terms,2018,650.14 AUJ,14,3,,
"Enelow, Wendy S.",Expert resumes & LinkedIn profiles for managers and executives : capture attention. . .capture opportunities,2020,650.142 ENE,14,3,,
"Okrend, Larry, author.",Black + Decker small space workshops : how to Create & Use a Downsized Workshop. Bonus: 12 Complete Benchtop Projects,2017,684.08 OKR,14,3,,
"Witwer, Michael, author.",Dungeons & Dragons art & arcana : a visual history,2018,793.93 WIT,14,3,,
,Fodor's essential Switzerland,2018,914.94 FOD,14,3,,
,Morocco.,2019,916.4 MOR,14,3,,
"Rady, Martyn C., author.",The Habsburgs : to rule the world,2020,929.7 RAD,14,3,,
"Merriman, Helena, author.",Tunnel 29 : the true story of an extraordinary escape beneath the Berlin Wall,2021,943.155 MER,14,3,,
"Philbrick, Nathaniel, author.",In the hurricane's eye : the genius of George Washington and the victory at Yorktown,2018,973.337 PHI,14,3,,
"Takei, George, 1937- author.",They called us enemy,2019,GRAPHIC 940.53 TAK,14,3,,
"Montgomery, Todd, author.",CCNA Cloud complete study guide : exam 210-451 and exam 210-455,2018,004.6782 MON,14,2,,
"Martin, Charles, 1969- author.",What if it's true? : a storyteller's journey with Jesus.,2019,230 MAR,14,2,,
"Krantz, Matt, author.",Retirement planning,2020,332.024 DUM,14,2,,
"Cep, Casey N., author.","Furious hours : murder, fraud, and the last trial of Harper Lee",2019,364.1523 CEP,14,2,,
"Perlmutter, David, 1954- author.","Brain wash : detox your mind for clearer thinking, deeper relationships, and lasting happiness",2020,612.82 PER,14,2,,
"Rankin, Lissa, 1969-",Sacred medicine : a doctor's quest to unravel the mysteries of healing,2022,615.852 RAN,14,2,,
"Helmer, Jodi, author.",Growing your own tea garden : the guide to growing and harvesting flavorful teas in your backyard,2019,633.7 HEL,14,2,,
